gene_id,gene_name,range,AveExpr,logFC,P.Value,FDR,status,region,feature,macs2_peak,distance_to_gene
ENSG00000237297,AL713922.1,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,43176
ENSG00000015171,ZMYND11,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,43704
ENSG00000260370,AC215217.1,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,73517
ENSG00000261456,TUBB8,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,15897
ENSG00000232420,IL9RP2,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,3795
ENSG00000276662,AL713922.2,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,57059
ENSG00000212331,RNA5SP297,chr10:136001-136700,4.131763192088034,0.7514107703677037,0.04630118709743251,0.048532569608152144,Up,Upstream Promoter (<5kb),Super Enhancer,FALSE,64070
ENSG00000015171,ZMYND11,chr10:198801-199100,3.986108418426518,0.9990613155132275,0.009935524345036941,0.011034773847041027,Up,Intron,No Feature,FALSE,0
ENSG00000233021,AL669841.1,chr10:500601-501400,4.328073830430705,1.9262603943711218,2.0093982191410087e-7,6.31871006260004e-7,Up,Intron,Enhancer,TRUE,13490
ENSG00000151240,DIP2C,chr10:500601-501400,4.328073830430705,1.9262603943711218,2.0093982191410087e-7,6.31871006260004e-7,Up,Intron,Enhancer,TRUE,0
ENSG00000239822,RN7SL754P,chr10:500601-501400,4.328073830430705,1.9262603943711218,2.0093982191410087e-7,6.31871006260004e-7,Up,Intron,Enhancer,TRUE,24156
ENSG00000233021,AL669841.1,chr10:579401-579700,3.9696951354907766,1.358440858811313,4.191276642990366e-4,5.552909664063378e-4,Up,Intron,Enhancer,FALSE,92290
ENSG00000225140,AL358216.1,chr10:579401-579700,3.9696951354907766,1.358440858811313,4.191276642990366e-4,5.552909664063378e-4,Up,Intron,Enhancer,FALSE,94877
ENSG00000151240,DIP2C,chr10:579401-579700,3.9696951354907766,1.358440858811313,4.191276642990366e-4,5.552909664063378e-4,Up,Intron,Enhancer,FALSE,0
ENSG00000107929,LARP4B,chr10:579401-579700,3.9696951354907766,1.358440858811313,4.191276642990366e-4,5.552909664063378e-4,Up,Intron,Enhancer,FALSE,273153
ENSG00000225140,AL358216.1,chr10:698201-698800,4.132887010104814,0.8817571757125796,0.021034904408353795,0.022408612451348328,Up,Exon,Enhancer,FALSE,21005
ENSG00000180525,PRR26,chr10:698201-698800,4.132887010104814,0.8817571757125796,0.021034904408353795,0.022408612451348328,Up,Exon,Enhancer,FALSE,0
ENSG00000231601,AL157709.1,chr10:698201-698800,4.132887010104814,0.8817571757125796,0.021034904408353795,0.022408612451348328,Up,Exon,Enhancer,FALSE,91131
ENSG00000151240,DIP2C,chr10:698201-698800,4.132887010104814,0.8817571757125796,0.021034904408353795,0.022408612451348328,Up,Exon,Enhancer,FALSE,0
ENSG00000263511,MIR5699,chr10:698201-698800,4.132887010104814,0.8817571757125796,0.021034904408353795,0.022408612451348328,Up,Exon,Enhancer,FALSE,10482
ENSG00000231601,AL157709.1,chr10:839201-839500,4.078965746874069,1.55820077474496,2.6277475579494642e-5,4.482628187090262e-5,Up,Intergenic (>10kb),Enhancer,FALSE,48302
ENSG00000107929,LARP4B,chr10:839201-839500,4.078965746874069,1.55820077474496,2.6277475579494642e-5,4.482628187090262e-5,Up,Intergenic (>10kb),Enhancer,FALSE,13353
ENSG00000229869,AL359878.2,chr10:902501-903100,4.079465066143075,0.8492579588524003,0.02776773837710696,0.02934161828512112,Up,Intron,Super Enhancer,FALSE,75865
ENSG00000107929,LARP4B,chr10:902501-903100,4.079465066143075,0.8492579588524003,0.02776773837710696,0.02934161828512112,Up,Intron,Super Enhancer,FALSE,0
ENSG00000047056,WDR37,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,0
ENSG00000232656,IDI2-AS1,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,12535
ENSG00000067064,IDI1,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,8790
ENSG00000238924,RNU7-163P,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,15605
ENSG00000067057,PFKP,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,2004224
ENSG00000287560,AL731533.3,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,1980426
ENSG00000273001,AL731533.2,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,2003315
ENSG00000278419,AL451164.2,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,2072457
ENSG00000237399,PITRM1-AS1,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,2079523
ENSG00000107959,PITRM1,chr10:1103901-1104300,3.965867754891808,1.2295542514191624,0.001977809198221902,0.0023788396347277255,Up,Intron,Promoter,FALSE,2075619
ENSG00000287175,AL513303.1,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,0
ENSG00000229672,AL450322.2,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,46596
ENSG00000228353,AL450322.1,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,41557
ENSG00000230573,LINC02639,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,23341
ENSG00000067082,KLF6,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,25027
ENSG00000236968,AL451164.1,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,582901
ENSG00000288566,AL451164.3,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,599642
ENSG00000226762,LINC02668,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,532659
ENSG00000227338,AL139280.1,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,543092
ENSG00000233117,LINC00702,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,390532
ENSG00000225269,LINC00705,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,844818
ENSG00000231298,MANCR,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,839549
ENSG00000287023,AC018978.1,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,937237
ENSG00000165568,AKR1E2,chr10:3852501-3852800,3.898799810581664,1.6137409487490084,5.2217025712102096e-5,8.112287923130147e-5,Up,Intron,Enhancer,FALSE,976020
ENSG00000287175,AL513303.1,chr10:3930101-3930700,4.228226163686805,1.373453032745141,2.704896866739734e-4,3.6579175244511427e-4,Up,Intergenic (>10kb),Enhancer,FALSE,71739
ENSG00000230573,LINC02639,chr10:3930101-3930700,4.228226163686805,1.373453032745141,2.704896866739734e-4,3.6579175244511427e-4,Up,Intergenic (>10kb),Enhancer,FALSE,53180
ENSG00000226005,LINC02660,chr10:3930101-3930700,4.228226163686805,1.373453032745141,2.704896866739734e-4,3.6579175244511427e-4,Up,Intergenic (>10kb),Enhancer,FALSE,23380
ENSG00000225269,LINC00705,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,43086
ENSG00000165568,AKR1E2,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,60320
ENSG00000231298,MANCR,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,47623
ENSG00000287023,AC018978.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,21537
ENSG00000237399,PITRM1-AS1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1557836
ENSG00000107959,PITRM1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1552967
ENSG00000236968,AL451164.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1498401
ENSG00000288566,AL451164.3,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1515142
ENSG00000226762,LINC02668,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1448159
ENSG00000227338,AL139280.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1458592
ENSG00000286610,AL356433.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1325628
ENSG00000233321,LINC02669,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,1222893
ENSG00000229672,AL450322.2,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,962096
ENSG00000287175,AL513303.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,909639
ENSG00000230573,LINC02639,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,891080
ENSG00000226005,LINC02660,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,789991
ENSG00000227101,AC025822.1,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,672790
ENSG00000233117,LINC00702,chr10:4768001-4768500,4.19724895699443,0.1870391170664933,0.6692851079610782,0.6692851079610782,Unchanged,Intergenic (>10kb),Enhancer,FALSE,481896
ENSG00000198610,AKR1C4,chr10:5308001-5308900,4.314674153641287,1.7970105014310098,1.4466037934438757e-6,3.227039231528646e-6,Up,Exon,Super Enhancer,TRUE,47088
